0,0.2
1,0.2
2,0.2
3,0.30000000000000004
4,0.1
5,0.30000000000000004
6,0.1
7,0.1
8,0.1
9,0.1
10,0.1
11,0.1
12,0.1
13,0.1
14,0.2
15,0.1
16,0.1
17,0.1
18,0.0
19,0.2
20,0.2
21,0.1
22,0.1
23,0.2
24,0.1
25,0.1
26,0.1
27,0.1
28,0.2
29,0.1
30,0.1
31,0.2
32,0.1
33,1.0
34,0.2
35,0.1
36,0.1
37,0.2
38,0.2
39,0.2
40,0.0
41,0.1
42,0.2
43,0.1
44,0.1
45,0.2
46,0.2
47,0.2
48,0.2
49,0.30000000000000004
50,0.2
51,0.1
52,0.1
53,0.1
54,0.1
55,0.1
56,0.1
57,0.1
58,0.1
59,0.30000000000000004
60,0.1
61,0.1
62,0.2
63,0.2
64,0.30000000000000004
65,0.1
66,0.1
67,0.2
68,0.2
69,0.2
70,0.30000000000000004
71,0.2
72,0.2
73,0.2
74,0.1
75,0.0
76,0.1
77,0.2
78,0.1
79,0.2
80,0.1
81,0.0
82,0.1
83,0.1
84,0.1
85,0.1
86,0.1
87,0.1
88,0.2
89,0.1
90,0.2
91,0.1
92,0.2
93,0.2
94,0.1
95,0.1
96,0.1
97,0.0
98,0.2
99,0.1
100,0.1
101,0.30000000000000004
102,0.2
103,0.30000000000000004
104,0.2
